Year	Vote from	Vote to	Point	Jury	Public
1957	Austria	Great Britain	1		
1957	Austria	Luxemburg	3		
1957	Austria	Netherlands	6		
1957	Belgium	France	2		
1957	Belgium	Germany	1		
1957	Belgium	Great Britain	1		
1957	Belgium	Italy	1		
1957	Belgium	Netherlands	5		
1957	Denmark	Belgium	2		
1957	Denmark	France	2		
1957	Denmark	Italy	1		
1957	Denmark	Netherlands	3		
1957	Denmark	Switzerland	2		
1957	France	Germany	6		
1957	France	Netherlands	4		
1957	Germany	Belgium	2		
1957	Germany	France	6		
1957	Germany	Netherlands	1		
1957	Germany	Switzerland	1		
1957	Great Britain	Austria	2		
1957	Great Britain	Denmark	2		
1957	Great Britain	France	2		
1957	Great Britain	Italy	2		
1957	Great Britain	Luxemburg	1		
1957	Great Britain	Netherlands	1		
1957	Italy	Denmark	3		
1957	Italy	Germany	1		
1957	Italy	Luxemburg	4		
1957	Italy	Netherlands	1		
1957	Italy	Switzerland	1		
1957	Luxemburg	France	4		
1957	Luxemburg	Great Britain	1		
1957	Luxemburg	Italy	1		
1957	Luxemburg	Netherlands	3		
1957	Luxemburg	Switzerland	1		
1957	Netherlands	Austria	1		
1957	Netherlands	Denmark	5		
1957	Netherlands	France	1		
1957	Netherlands	Great Britain	1		
1957	Netherlands	Italy	2		
1957	Switzerland	Belgium	1		
1957	Switzerland	Great Britain	2		
1957	Switzerland	Netherlands	7		
1958	Austria	France	7		
1958	Austria	Germany	1		
1958	Austria	Italy	1		
1958	Austria	Sweden	1		
1958	Belgium	Austria	1		
1958	Belgium	France	1		
1958	Belgium	Germany	1		
1958	Belgium	Italy	4		
1958	Belgium	Sweden	1		
1958	Belgium	Switzerland	2		
1958	Denmark	Belgium	1		
1958	Denmark	France	9		
1958	France	Austria	3		
1958	France	Denmark	1		
1958	France	Germany	2		
1958	France	Italy	1		
1958	France	Switzerland	3		
1958	Germany	Belgium	5		
1958	Germany	France	1		
1958	Germany	Italy	4		
1958	Italy	France	6		
1958	Italy	Switzerland	4		
1958	Luxemburg	Austria	1		
1958	Luxemburg	France	1		
1958	Luxemburg	Sweden	3		
1958	Luxemburg	Switzerland	5		
1958	Netherlands	Denmark	1		
1958	Netherlands	Italy	1		
1958	Netherlands	Sweden	2		
1958	Netherlands	Switzerland	6		
1958	Sweden	Austria	1		
1958	Sweden	Belgium	1		
1958	Sweden	Denmark	1		
1958	Sweden	France	1		
1958	Sweden	Germany	1		
1958	Sweden	Italy	1		
1958	Sweden	Switzerland	4		
1958	Switzerland	Austria	2		
1958	Switzerland	Belgium	1		
1958	Switzerland	France	1		
1958	Switzerland	Italy	1		
1958	Switzerland	Luxemburg	1		
1958	Switzerland	Netherlands	1		
1958	Switzerland	Sweden	3		
1959	Austria	Denmark	2		
1959	Austria	France	1		
1959	Austria	Great Britain	2		
1959	Austria	Monaco	1		
1959	Austria	Netherlands	3		
1959	Austria	Switzerland	1		
1959	Belgium	France	2		
1959	Belgium	Germany	1		
1959	Belgium	Great Britain	2		
1959	Belgium	Italy	1		
1959	Belgium	Netherlands	3		
1959	Belgium	Switzerland	1		
1959	Denmark	Belgium	2		
1959	Denmark	France	4		
1959	Denmark	Great Britain	1		
1959	Denmark	Sweden	1		
1959	Denmark	Switzerland	2		
1959	France	Germany	2		
1959	France	Great Britain	1		
1959	France	Italy	3		
1959	France	Netherlands	4		
1959	Germany	Belgium	3		
1959	Germany	France	4		
1959	Germany	Netherlands	2		
1959	Germany	Switzerland	1		
1959	Great Britain	Belgium	2		
1959	Great Britain	Denmark	2		
1959	Great Britain	Netherlands	1		
1959	Great Britain	Switzerland	5		
1959	Italy	Denmark	1		
1959	Italy	France	1		
1959	Italy	Germany	1		
1959	Italy	Netherlands	7		
1959	Monaco	Austria	1		
1959	Monaco	Belgium	1		
1959	Monaco	Denmark	1		
1959	Monaco	France	2		
1959	Monaco	Great Britain	2		
1959	Monaco	Italy	1		
1959	Monaco	Netherlands	1		
1959	Monaco	Switzerland	1		
1959	Netherlands	Belgium	1		
1959	Netherlands	Denmark	1		
1959	Netherlands	Great Britain	5		
1959	Netherlands	Sweden	3		
1959	Sweden	Austria	2		
1959	Sweden	Denmark	4		
1959	Sweden	Italy	1		
1959	Sweden	Switzerland	3		
1959	Switzerland	Austria	1		
1959	Switzerland	Denmark	1		
1959	Switzerland	France	1		
1959	Switzerland	Germany	1		
1959	Switzerland	Great Britain	3		
1959	Switzerland	Italy	3		
1960	Austria	Belgium	1		
1960	Austria	France	1		
1960	Austria	Germany	2		
1960	Austria	Great Britain	3		
1960	Austria	Norway	1		
1960	Austria	Switzerland	2		
1960	Belgium	Austria	1		
1960	Belgium	France	3		
1960	Belgium	Germany	2		
1960	Belgium	Great Britain	1		
1960	Belgium	Italy	1		
1960	Belgium	Netherlands	1		
1960	Belgium	Norway	1		
1960	Denmark	Austria	2		
1960	Denmark	France	4		
1960	Denmark	Monaco	2		
1960	Denmark	Norway	2		
1960	France	Germany	4		
1960	France	Monaco	3		
1960	France	Norway	1		
1960	France	Sweden	2		
1960	Germany	Belgium	1		
1960	Germany	France	1		
1960	Germany	Great Britain	1		
1960	Germany	Monaco	7		
1960	Great Britain	Austria	2		
1960	Great Britain	Denmark	1		
1960	Great Britain	France	5		
1960	Great Britain	Monaco	1		
1960	Great Britain	Norway	1		
1960	Italy	Austria	1		
1960	Italy	Belgium	3		
1960	Italy	Great Britain	2		
1960	Italy	Luxemburg	1		
1960	Italy	Netherlands	1		
1960	Italy	Sweden	1		
1960	Italy	Switzerland	1		
1960	Luxemburg	Denmark	1		
1960	Luxemburg	France	1		
1960	Luxemburg	Great Britain	5		
1960	Luxemburg	Italy	1		
1960	Luxemburg	Monaco	1		
1960	Luxemburg	Switzerland	1		
1960	Monaco	France	5		
1960	Monaco	Germany	2		
1960	Monaco	Great Britain	1		
1960	Monaco	Italy	2		
1960	Netherlands	France	2		
1960	Netherlands	Great Britain	5		
1960	Netherlands	Italy	1		
1960	Netherlands	Norway	1		
1960	Netherlands	Sweden	1		
1960	Norway	Denmark	2		
1960	Norway	France	5		
1960	Norway	Great Britain	2		
1960	Norway	Switzerland	1		
1960	Sweden	Belgium	4		
1960	Sweden	France	4		
1960	Sweden	Germany	1		
1960	Sweden	Great Britain	1		
1960	Switzerland	France	1		
1960	Switzerland	Great Britain	4		
1960	Switzerland	Monaco	1		
1960	Switzerland	Norway	4		
1961	Austria	Germany	1		
1961	Austria	Luxemburg	4		
1961	Austria	Switzerland	2		
1961	Austria	Yugoslavia	3		
1961	Belgium	Great Britain	1		
1961	Belgium	Italy	4		
1961	Belgium	Norway	5		
1961	Denmark	Finnland	1		
1961	Denmark	Germany	1		
1961	Denmark	Great Britain	1		
1961	Denmark	Italy	4		
1961	Denmark	Luxemburg	1		
1961	Denmark	Norway	1		
1961	Denmark	Yugoslavia	1		
1961	Finnland	Denmark	1		
1961	Finnland	France	1		
1961	Finnland	Luxemburg	3		
1961	Finnland	Monaco	3		
1961	Finnland	Norway	2		
1961	France	Finnland	1		
1961	France	Italy	1		
1961	France	Luxemburg	1		
1961	France	Netherlands	1		
1961	France	Spain	2		
1961	France	Sweden	2		
1961	France	Yugoslavia	2		
1961	Germany	France	4		
1961	Germany	Luxemburg	5		
1961	Germany	Netherlands	1		
1961	Great Britain	Austria	1		
1961	Great Britain	Finnland	2		
1961	Great Britain	France	2		
1961	Great Britain	Monaco	1		
1961	Great Britain	Spain	1		
1961	Great Britain	Switzerland	2		
1961	Great Britain	Yugoslavia	1		
1961	Italy	Finnland	2		
1961	Italy	Great Britain	1		
1961	Italy	Luxemburg	3		
1961	Italy	Netherlands	2		
1961	Italy	Switzerland	2		
1961	Luxemburg	Belgium	1		
1961	Luxemburg	France	1		
1961	Luxemburg	Great Britain	8		
1961	Monaco	France	2		
1961	Monaco	Italy	1		
1961	Monaco	Luxemburg	4		
1961	Monaco	Spain	1		
1961	Monaco	Switzerland	2		
1961	Netherlands	Denmark	1		
1961	Netherlands	Great Britain	3		
1961	Netherlands	Italy	1		
1961	Netherlands	Luxemburg	1		
1961	Netherlands	Spain	1		
1961	Netherlands	Switzerland	2		
1961	Netherlands	Yugoslavia	1		
1961	Norway	Denmark	8		
1961	Norway	Spain	2		
1961	Spain	France	2		
1961	Spain	Great Britain	3		
1961	Spain	Luxemburg	2		
1961	Spain	Monaco	1		
1961	Spain	Norway	1		
1961	Spain	Switzerland	1		
1961	Sweden	Denmark	2		
1961	Sweden	France	1		
1961	Sweden	Germany	1		
1961	Sweden	Luxemburg	1		
1961	Sweden	Spain	1		
1961	Sweden	Switzerland	4		
1961	Switzerland	Great Britain	7		
1961	Switzerland	Luxemburg	1		
1961	Switzerland	Monaco	1		
1961	Switzerland	Yugoslavia	1		
1961	Yugoslavia	Italy	1		
1961	Yugoslavia	Luxemburg	5		
1961	Yugoslavia	Netherlands	2		
1961	Yugoslavia	Norway	1		
1961	Yugoslavia	Switzerland	1		
1962	Austria	France	2		
1962	Austria	Luxemburg	1		
1962	Austria	Monaco	3		
1962	Belgium	France	2		
1962	Belgium	Luxemburg	3		
1962	Belgium	Yugoslavia	1		
1962	Denmark	Germany	1		
1962	Denmark	Great Britain	2		
1962	Denmark	Sweden	3		
1962	Finnland	Germany	2		
1962	Finnland	Great Britain	3		
1962	Finnland	Yugoslavia	1		
1962	France	Monaco	1		
1962	France	Norway	2		
1962	France	Yugoslavia	3		
1962	Germany	France	3		
1962	Germany	Monaco	1		
1962	Germany	Switzerland	2		
1962	Great Britain	Finnland	3		
1962	Great Britain	France	1		
1962	Great Britain	Germany	2		
1962	Italy	Denmark	1		
1962	Italy	France	2		
1962	Italy	Yugoslavia	3		
1962	Luxemburg	France	1		
1962	Luxemburg	Italy	2		
1962	Luxemburg	Monaco	3		
1962	Monaco	France	1		
1962	Monaco	Germany	2		
1962	Monaco	Luxemburg	3		
1962	Netherlands	Germany	2		
1962	Netherlands	Monaco	3		
1962	Netherlands	Sweden	1		
1962	Norway	Finnland	1		
1962	Norway	France	3		
1962	Norway	Monaco	2		
1962	Spain	France	2		
1962	Spain	Great Britain	1		
1962	Spain	Luxemburg	3		
1962	Sweden	Denmark	1		
1962	Sweden	France	3		
1962	Sweden	Yugoslavia	2		
1962	Switzerland	France	3		
1962	Switzerland	Great Britain	2		
1962	Switzerland	Luxemburg	1		
1962	Yugoslavia	France	3		
1962	Yugoslavia	Great Britain	2		
1962	Yugoslavia	Italy	1		
1963	Austria	Belgium	4		
1963	Austria	Denmark	3		
1963	Austria	France	2		
1963	Austria	Monaco	1		
1963	Austria	Switzerland	5		
1963	Belgium	Austria	2		
1963	Belgium	Denmark	5		
1963	Belgium	France	1		
1963	Belgium	Italy	3		
1963	Belgium	Switzerland	4		
1963	Denmark	Austria	1		
1963	Denmark	Great Britain	3		
1963	Denmark	Italy	5		
1963	Denmark	Luxemburg	2		
1963	Denmark	Switzerland	4		
1963	Finnland	Austria	4		
1963	Finnland	Denmark	5		
1963	Finnland	Great Britain	3		
1963	Finnland	Italy	2		
1963	Finnland	Luxemburg	1		
1963	France	Austria	2		
1963	France	Great Britain	3		
1963	France	Luxemburg	4		
1963	France	Monaco	5		
1963	France	Yugoslavia	1		
1963	Germany	Denmark	2		
1963	Germany	France	1		
1963	Germany	Luxemburg	3		
1963	Germany	Monaco	5		
1963	Germany	Switzerland	4		
1963	Great Britain	Austria	4		
1963	Great Britain	Denmark	3		
1963	Great Britain	Italy	2		
1963	Great Britain	Monaco	1		
1963	Great Britain	Switzerland	5		
1963	Italy	Denmark	2		
1963	Italy	France	4		
1963	Italy	Luxemburg	1		
1963	Italy	Monaco	3		
1963	Italy	Switzerland	5		
1963	Luxemburg	Denmark	5		
1963	Luxemburg	France	1		
1963	Luxemburg	Italy	4		
1963	Luxemburg	Monaco	2		
1963	Luxemburg	Switzerland	3		
1963	Monaco	France	2		
1963	Monaco	Germany	3		
1963	Monaco	Great Britain	1		
1963	Monaco	Italy	5		
1963	Monaco	Switzerland	4		
1963	Netherlands	Denmark	5		
1963	Netherlands	France	4		
1963	Netherlands	Great Britain	3		
1963	Netherlands	Italy	1		
1963	Netherlands	Monaco	2		
1963	Norway	Denmark	4		
1963	Norway	Germany	2		
1963	Norway	Great Britain	5		
1963	Norway	Italy	3		
1963	Norway	Switzerland	1		
1963	Spain	France	1		
1963	Spain	Great Britain	5		
1963	Spain	Italy	3		
1963	Spain	Switzerland	4		
1963	Spain	Yugoslavia	2		
1963	Sweden	Austria	3		
1963	Sweden	Denmark	5		
1963	Sweden	Great Britain	2		
1963	Sweden	Monaco	4		
1963	Sweden	Switzerland	1		
1963	Switzerland	Denmark	3		
1963	Switzerland	France	4		
1963	Switzerland	Italy	5		
1963	Switzerland	Luxemburg	2		
1963	Switzerland	Monaco	1		
1963	Yugoslavia	France	5		
1963	Yugoslavia	Great Britain	3		
1963	Yugoslavia	Italy	4		
1963	Yugoslavia	Monaco	1		
1963	Yugoslavia	Spain	2		
1964	Austria	France	3		
1964	Austria	Great Britain	1		
1964	Austria	Italy	5		
1964	Belgium	Austria	1		
1964	Belgium	Italy	5		
1964	Belgium	Monaco	3		
1964	Denmark	Finnland	3		
1964	Denmark	Netherlands	1		
1964	Denmark	Norway	5		
1964	Finnland	Great Britain	3		
1964	Finnland	Italy	5		
1964	Finnland	Norway	1		
1964	France	Great Britain	1		
1964	France	Luxemburg	3		
1964	France	Monaco	5		
1964	Germany	Great Britain	1		
1964	Germany	Italy	3		
1964	Germany	Luxemburg	5		
1964	Great Britain	Finnland	3		
1964	Great Britain	Italy	5		
1964	Great Britain	Netherlands	1		
1964	Italy	Austria	5		
1964	Italy	Luxemburg	3		
1964	Italy	Spain	1		
1964	Luxemburg	France	1		
1964	Luxemburg	Italy	5		
1964	Luxemburg	Monaco	3		
1964	Monaco	Belgium	1		
1964	Monaco	France	5		
1964	Monaco	Italy	3		
1964	Netherlands	Great Britain	1		
1964	Netherlands	Italy	5		
1964	Netherlands	Luxemburg	3		
1964	Norway	Denmark	1		
1964	Norway	Finnland	3		
1964	Norway	Great Britain	5		
1964	Portugal	Belgium	1		
1964	Portugal	France	3		
1964	Portugal	Italy	5		
1964	Spain	Austria	5		
1964	Spain	Denmark	3		
1964	Spain	France	1		
1964	Switzerland	Great Britain	5		
1964	Switzerland	Italy	3		
1964	Switzerland	Monaco	1		
1964	Yugoslavia	France	1		
1964	Yugoslavia	Italy	5		
1964	Yugoslavia	Monaco	3		
1965	Austria	Luxemburg	5		
1965	Austria	Norway	1		
1965	Austria	Switzerland	3		
1965	Belgium	Great Britain	6		
1965	Belgium	Italy	3		
1965	Denmark	Great Britain	5		
1965	Denmark	Luxemburg	1		
1965	Denmark	Sweden	3		
1965	Finnland	France	1		
1965	Finnland	Luxemburg	5		
1965	Finnland	Sweden	3		
1965	France	Italy	3		
1965	France	Switzerland	5		
1965	France	Yugoslavia	1		
1965	Germany	France	3		
1965	Germany	Italy	1		
1965	Germany	Luxemburg	5		
1965	Great Britain	Austria	3		
1965	Great Britain	Italy	1		
1965	Great Britain	Monaco	5		
1965	Ireland	Austria	5		
1965	Ireland	France	1		
1965	Ireland	Luxemburg	3		
1965	Italy	Austria	3		
1965	Italy	Great Britain	1		
1965	Italy	Ireland	5		
1965	Luxemburg	Denmark	5		
1965	Luxemburg	France	3		
1965	Luxemburg	Italy	1		
1965	Monaco	France	5		
1965	Monaco	Italy	3		
1965	Monaco	Portugal	1		
1965	Netherlands	France	1		
1965	Netherlands	Italy	3		
1965	Netherlands	Luxemburg	5		
1965	Norway	Great Britain	1		
1965	Norway	Luxemburg	3		
1965	Norway	Netherlands	5		
1965	Portugal	Austria	5		
1965	Portugal	Ireland	3		
1965	Portugal	Yugoslavia	1		
1965	Spain	France	3		
1965	Spain	Great Britain	5		
1965	Spain	Luxemburg	1		
1965	Sweden	Denmark	5		
1965	Sweden	Great Britain	3		
1965	Sweden	Luxemburg	1		
1965	Switzerland	Great Britain	5		
1965	Switzerland	Luxemburg	3		
1965	Switzerland	Monaco	1		
1965	Yugoslavia	France	5		
1965	Yugoslavia	Ireland	3		
1965	Yugoslavia	Monaco	1		
1966	Austria	Luxemburg	1		
1966	Austria	Norway	3		
1966	Austria	Switzerland	5		
1966	Belgium	Austria	5		
1966	Belgium	Germany	1		
1966	Belgium	Ireland	3		
1966	Denmark	Finnland	3		
1966	Denmark	Portugal	1		
1966	Denmark	Sweden	5		
1966	Finnland	Denmark	3		
1966	Finnland	Sweden	5		
1966	Finnland	Yugoslavia	1		
1966	France	Austria	3		
1966	France	Ireland	5		
1966	France	Luxemburg	1		
1966	Germany	Belgium	5		
1966	Germany	Norway	1		
1966	Germany	Yugoslavia	3		
1966	Great Britain	Netherlands	1		
1966	Great Britain	Spain	3		
1966	Great Britain	Yugoslavia	5		
1966	Ireland	Great Britain	5		
1966	Ireland	Netherlands	1		
1966	Ireland	Switzerland	3		
1966	Italy	Austria	3		
1966	Italy	Germany	1		
1966	Italy	Norway	5		
1966	Luxemburg	Austria	5		
1966	Luxemburg	Great Britain	3		
1966	Luxemburg	Switzerland	1		
1966	Monaco	Austria	5		
1966	Monaco	France	1		
1966	Monaco	Switzerland	3		
1966	Netherlands	Belgium	5		
1966	Netherlands	Finnland	1		
1966	Netherlands	Ireland	3		
1966	Norway	Denmark	1		
1966	Norway	Finnland	3		
1966	Norway	Sweden	5		
1966	Portugal	Austria	1		
1966	Portugal	Belgium	3		
1966	Portugal	Spain	5		
1966	Spain	Austria	1		
1966	Spain	Norway	3		
1966	Spain	Portugal	5		
1966	Sweden	Belgium	1		
1966	Sweden	Luxemburg	5		
1966	Sweden	Norway	3		
1966	Switzerland	Austria	3		
1966	Switzerland	Germany	5		
1966	Switzerland	Sweden	1		
1966	Yugoslavia	Austria	5		
1966	Yugoslavia	Ireland	3		
1966	Yugoslavia	Spain	1		
1967	Austria	France	1		
1967	Austria	Great Britain	3		
1967	Austria	Ireland	3		
1967	Austria	Monaco	2		
1967	Austria	Spain	1		
1967	Belgium	Germany	1		
1967	Belgium	Great Britain	3		
1967	Belgium	Ireland	3		
1967	Belgium	Luxemburg	1		
1967	Belgium	Spain	1		
1967	Belgium	Yugoslavia	1		
1967	Finnland	Belgium	3		
1967	Finnland	Great Britain	2		
1967	Finnland	Ireland	2		
1967	Finnland	Luxemburg	2		
1967	Finnland	Sweden	1		
1967	France	Great Britain	7		
1967	France	Monaco	1		
1967	France	Portugal	1		
1967	France	Yugoslavia	1		
1967	Germany	Belgium	1		
1967	Germany	France	2		
1967	Germany	Great Britain	3		
1967	Germany	Ireland	4		
1967	Great Britain	Belgium	1		
1967	Great Britain	France	2		
1967	Great Britain	Germany	1		
1967	Great Britain	Ireland	2		
1967	Great Britain	Italy	1		
1967	Great Britain	Luxemburg	2		
1967	Great Britain	Netherlands	1		
1967	Ireland	Belgium	1		
1967	Ireland	France	1		
1967	Ireland	Germany	1		
1967	Ireland	Great Britain	1		
1967	Ireland	Italy	1		
1967	Ireland	Luxemburg	2		
1967	Ireland	Netherlands	1		
1967	Ireland	Sweden	2		
1967	Italy	Finnland	1		
1967	Italy	Germany	1		
1967	Italy	Great Britain	2		
1967	Italy	Ireland	1		
1967	Italy	Luxemburg	3		
1967	Italy	Monaco	1		
1967	Italy	Yugoslavia	1		
1967	Luxemburg	France	2		
1967	Luxemburg	Great Britain	5		
1967	Luxemburg	Ireland	1		
1967	Luxemburg	Spain	1		
1967	Luxemburg	Yugoslavia	1		
1967	Monaco	France	2		
1967	Monaco	Great Britain	3		
1967	Monaco	Ireland	2		
1967	Monaco	Luxemburg	1		
1967	Monaco	Spain	2		
1967	Netherlands	Finnland	1		
1967	Netherlands	France	1		
1967	Netherlands	Great Britain	2		
1967	Netherlands	Luxemburg	4		
1967	Netherlands	Norway	1		
1967	Netherlands	Spain	1		
1967	Norway	Germany	1		
1967	Norway	Great Britain	7		
1967	Norway	Sweden	2		
1967	Portugal	Austria	1		
1967	Portugal	Belgium	1		
1967	Portugal	Finnland	1		
1967	Portugal	Germany	1		
1967	Portugal	Great Britain	1		
1967	Portugal	Ireland	1		
1967	Portugal	Spain	2		
1967	Portugal	Sweden	1		
1967	Portugal	Yugoslavia	1		
1967	Spain	Italy	1		
1967	Spain	Luxemburg	1		
1967	Spain	Monaco	5		
1967	Spain	Portugal	1		
1967	Spain	Yugoslavia	2		
1967	Sweden	France	4		
1967	Sweden	Germany	1		
1967	Sweden	Great Britain	1		
1967	Sweden	Ireland	2		
1967	Sweden	Monaco	1		
1967	Sweden	Norway	1		
1967	Switzerland	France	1		
1967	Switzerland	Great Britain	7		
1967	Switzerland	Italy	1		
1967	Switzerland	Portugal	1		
1967	Yugoslavia	Austria	1		
1967	Yugoslavia	Belgium	1		
1967	Yugoslavia	France	4		
1967	Yugoslavia	Ireland	1		
1967	Yugoslavia	Luxemburg	1		
1967	Yugoslavia	Spain	1		
1967	Yugoslavia	Sweden	1		
1968	Austria	France	2		
1968	Austria	Ireland	4		
1968	Austria	Luxemburg	1		
1968	Austria	Spain	2		
1968	Austria	Yugoslavia	1		
1968	Belgium	France	6		
1968	Belgium	Great Britain	2		
1968	Belgium	Ireland	1		
1968	Belgium	Yugoslavia	1		
1968	Finnland	Belgium	1		
1968	Finnland	Great Britain	2		
1968	Finnland	Monaco	3		
1968	Finnland	Spain	3		
1968	Finnland	Sweden	1		
1968	France	Belgium	1		
1968	France	Great Britain	4		
1968	France	Luxemburg	1		
1968	France	Spain	4		
1968	Germany	Austria	2		
1968	Germany	Great Britain	2		
1968	Germany	Spain	6		
1968	Great Britain	Belgium	1		
1968	Great Britain	Germany	5		
1968	Great Britain	Luxemburg	1		
1968	Great Britain	Monaco	1		
1968	Great Britain	Sweden	2		
1968	Ireland	Great Britain	1		
1968	Ireland	Monaco	1		
1968	Ireland	Spain	1		
1968	Ireland	Sweden	4		
1968	Ireland	Yugoslavia	3		
1968	Italy	Belgium	3		
1968	Italy	France	2		
1968	Italy	Great Britain	1		
1968	Italy	Netherlands	1		
1968	Italy	Spain	3		
1968	Luxemburg	France	3		
1968	Luxemburg	Germany	1		
1968	Luxemburg	Great Britain	1		
1968	Luxemburg	Ireland	1		
1968	Luxemburg	Monaco	1		
1968	Luxemburg	Norway	1		
1968	Luxemburg	Spain	1		
1968	Luxemburg	Yugoslavia	1		
1968	Monaco	Great Britain	5		
1968	Monaco	Luxemburg	1		
1968	Monaco	Spain	4		
1968	Netherlands	France	3		
1968	Netherlands	Great Britain	2		
1968	Netherlands	Ireland	1		
1968	Netherlands	Luxemburg	1		
1968	Netherlands	Monaco	2		
1968	Netherlands	Sweden	1		
1968	Norway	Finnland	1		
1968	Norway	Portugal	2		
1968	Norway	Spain	1		
1968	Norway	Sweden	6		
1968	Portugal	Belgium	1		
1968	Portugal	Great Britain	1		
1968	Portugal	Ireland	1		
1968	Portugal	Italy	1		
1968	Portugal	Spain	4		
1968	Portugal	Sweden	1		
1968	Portugal	Yugoslavia	1		
1968	Spain	Belgium	1		
1968	Spain	Germany	2		
1968	Spain	Italy	2		
1968	Spain	Norway	1		
1968	Spain	Portugal	3		
1968	Spain	Yugoslavia	1		
1968	Sweden	France	1		
1968	Sweden	Germany	2		
1968	Sweden	Great Britain	3		
1968	Sweden	Ireland	4		
1968	Switzerland	France	3		
1968	Switzerland	Germany	1		
1968	Switzerland	Great Britain	4		
1968	Switzerland	Italy	2		
1968	Yugoslavia	Ireland	6		
1968	Yugoslavia	Italy	2		
1968	Yugoslavia	Switzerland	2		
1969	Belgium	Germany	1		
1969	Belgium	Luxemburg	1		
1969	Belgium	Monaco	1		
1969	Belgium	Netherlands	1		
1969	Belgium	Portugal	1		
1969	Belgium	Spain	3		
1969	Belgium	Switzerland	1		
1969	Belgium	Yugoslavia	1		
1969	Finnland	Great Britain	1		
1969	Finnland	Ireland	3		
1969	Finnland	Italy	1		
1969	Finnland	Sweden	3		
1969	Finnland	Switzerland	2		
1969	France	Germany	1		
1969	France	Netherlands	6		
1969	France	Portugal	1		
1969	France	Spain	2		
1969	Germany	Finnland	1		
1969	Germany	France	1		
1969	Germany	Great Britain	1		
1969	Germany	Ireland	1		
1969	Germany	Luxemburg	1		
1969	Germany	Spain	3		
1969	Germany	Switzerland	2		
1969	Great Britain	Belgium	3		
1969	Great Britain	France	4		
1969	Great Britain	Ireland	1		
1969	Great Britain	Switzerland	2		
1969	Ireland	Finnland	1		
1969	Ireland	France	4		
1969	Ireland	Italy	1		
1969	Ireland	Spain	1		
1969	Ireland	Switzerland	3		
1969	Italy	Great Britain	3		
1969	Italy	Monaco	4		
1969	Italy	Netherlands	3		
1969	Luxemburg	Finnland	1		
1969	Luxemburg	France	1		
1969	Luxemburg	Great Britain	4		
1969	Luxemburg	Netherlands	2		
1969	Luxemburg	Spain	2		
1969	Monaco	France	2		
1969	Monaco	Italy	1		
1969	Monaco	Luxemburg	3		
1969	Monaco	Netherlands	1		
1969	Monaco	Spain	3		
1969	Netherlands	Belgium	1		
1969	Netherlands	Finnland	1		
1969	Netherlands	France	2		
1969	Netherlands	Great Britain	1		
1969	Netherlands	Ireland	1		
1969	Netherlands	Luxemburg	1		
1969	Netherlands	Monaco	2		
1969	Netherlands	Sweden	1		
1969	Norway	Belgium	2		
1969	Norway	Finnland	1		
1969	Norway	Germany	1		
1969	Norway	Netherlands	1		
1969	Norway	Spain	1		
1969	Norway	Sweden	3		
1969	Norway	Switzerland	1		
1969	Portugal	France	2		
1969	Portugal	Great Britain	1		
1969	Portugal	Italy	1		
1969	Portugal	Spain	2		
1969	Portugal	Sweden	1		
1969	Portugal	Yugoslavia	3		
1969	Spain	Belgium	2		
1969	Spain	Finnland	1		
1969	Spain	Germany	2		
1969	Spain	Monaco	2		
1969	Spain	Portugal	2		
1969	Spain	Yugoslavia	1		
1969	Sweden	France	1		
1969	Sweden	Great Britain	5		
1969	Sweden	Ireland	1		
1969	Sweden	Monaco	2		
1969	Sweden	Norway	1		
1969	Switzerland	Belgium	2		
1969	Switzerland	France	1		
1969	Switzerland	Ireland	3		
1969	Switzerland	Netherlands	4		
1969	Yugoslavia	Germany	3		
1969	Yugoslavia	Great Britain	2		
1969	Yugoslavia	Italy	1		
1969	Yugoslavia	Luxemburg	1		
1969	Yugoslavia	Spain	1		
1969	Yugoslavia	Switzerland	2		
1970	Belgium	Ireland	9		
1970	Belgium	Monaco	1		
1970	France	Belgium	3		
1970	France	Great Britain	2		
1970	France	Ireland	1		
1970	France	Monaco	2		
1970	France	Switzerland	2		
1970	Germany	Great Britain	4		
1970	Germany	Ireland	2		
1970	Germany	Italy	2		
1970	Germany	Switzerland	2		
1970	Great Britain	Ireland	4		
1970	Great Britain	Netherlands	1		
1970	Great Britain	Switzerland	1		
1970	Great Britain	Yugoslavia	4		
1970	Ireland	Belgium	1		
1970	Ireland	France	3		
1970	Ireland	Germany	2		
1970	Ireland	Great Britain	3		
1970	Ireland	Switzerland	1		
1970	Italy	France	1		
1970	Italy	Germany	1		
1970	Italy	Great Britain	2		
1970	Italy	Netherlands	3		
1970	Italy	Spain	3		
1970	Luxemburg	Belgium	1		
1970	Luxemburg	Germany	3		
1970	Luxemburg	Great Britain	2		
1970	Luxemburg	Ireland	2		
1970	Luxemburg	Spain	2		
1970	Monaco	France	2		
1970	Monaco	Germany	1		
1970	Monaco	Great Britain	4		
1970	Monaco	Spain	3		
1970	Netherlands	Great Britain	3		
1970	Netherlands	Ireland	5		
1970	Netherlands	Switzerland	2		
1970	Spain	Germany	4		
1970	Spain	Ireland	3		
1970	Spain	Italy	2		
1970	Spain	Monaco	1		
1970	Switzerland	Germany	1		
1970	Switzerland	Great Britain	2		
1970	Switzerland	Ireland	6		
1970	Switzerland	Monaco	1		
1970	Yugoslavia	France	2		
1970	Yugoslavia	Great Britain	4		
